epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
88,5829.67,1.49695,2.9731,1.27114,1.21632,0,0.39075,0.37263,0.31905,0.16658,0.32426,0.29112,0.2116,0.08111,1.67872,3.65991,1.80012,1.32836,0,0.0002774,0.0002774,0.0002774
89,5895.03,1.53797,3.017,1.28506,1.24766,0,0.42887,0.31042,0.3041,0.15814,0.31632,0.24454,0.19857,0.07566,1.6962,3.67249,1.80841,1.354,0,0.0002576,0.0002576,0.0002576
90,5957.98,1.53499,3.06698,1.32385,1.25864,0,0.39576,0.31587,0.29343,0.15263,0.2928,0.24309,0.17558,0.06606,1.6891,3.65684,1.83586,1.35212,0,0.0002378,0.0002378,0.0002378
91,6017.71,1.46079,3.03419,2.19215,1.34537,0,0.35581,0.28093,0.25414,0.13444,0.2531,0.20087,0.1316,0.04998,1.67879,3.7052,1.95493,1.34534,0,0.000218,0.000218,0.000218
92,6075.79,1.49712,3.03664,1.48179,1.2613,0,0.31198,0.24163,0.20695,0.11044,0.22079,0.16594,0.10396,0.04091,1.68544,3.77577,2.10332,1.35564,0,0.0001982,0.0001982,0.0001982
93,6135.7,1.42303,2.81167,6.57022,1.2046,0,0.29041,0.22707,0.19372,0.10339,0.21072,0.16157,0.10236,0.03986,1.68348,3.82584,2.13611,1.35753,0,0.0001784,0.0001784,0.0001784
94,6195.58,1.49855,2.95984,1.3897,1.27463,0,0.34274,0.25473,0.2291,0.12371,0.25437,0.18777,0.12737,0.05117,1.68899,3.80467,1.99799,1.35378,0,0.0001586,0.0001586,0.0001586
95,6260.9,1.57635,3.07556,1.32721,1.27297,0,0.36557,0.32314,0.27485,0.15081,0.28159,0.24891,0.16407,0.06779,1.67299,3.75673,1.90358,1.33578,0,0.0001388,0.0001388,0.0001388
96,6322.87,1.49196,2.9194,5.3441,1.25256,0,0.4041,0.35371,0.31276,0.16917,0.3223,0.27074,0.19691,0.0819,1.66941,3.70718,1.88453,1.32223,0,0.000119,0.000119,0.000119
97,6382.44,1.45343,2.84869,1.62316,1.25857,0,0.42354,0.36245,0.33039,0.17746,0.3321,0.27948,0.20847,0.0874,1.6702,3.68151,1.83267,1.31666,0,9.92e-05,9.92e-05,9.92e-05
98,6444.29,1.41807,2.90627,1.80921,1.27372,0,0.4366,0.37789,0.33854,0.17914,0.35455,0.27802,0.2141,0.08891,1.66508,3.63404,1.78312,1.31236,0,7.94e-05,7.94e-05,7.94e-05
99,6504.16,1.47489,2.91156,1.6018,1.29964,0,0.42028,0.37461,0.33705,0.17656,0.34254,0.28821,0.21198,0.086,1.66768,3.61422,1.76162,1.31103,0,5.96e-05,5.96e-05,5.96e-05
100,6565.63,1.48638,2.86261,1.97159,1.37466,0,0.40931,0.37622,0.3385,0.17486,0.35703,0.2853,0.21535,0.08392,1.67378,3.60612,1.75535,1.31194,0,3.98e-05,3.98e-05,3.98e-05
